,Nombre_Institucion,Provincia,Canton,Parroquia,Numero_de_estudiantes,Numero_de_docentes
1,CORAZON DE JESUS,EL ORO,ARENILLAS,ARENILLAS,33,11
13,9 DE OCTUBRE,EL ORO,ARENILLAS,ARENILLAS,23,2
19,ARISTIDES CORDOVA VILLACIS,EL ORO,ARENILLAS,ARENILLAS,41,5
23,NAPOLEON PALADINES CARREÑO,EL ORO,ARENILLAS,ARENILLAS,45,5
24,MAYOR HECTOR ESPINOZA,EL ORO,ARENILLAS,ARENILLAS,47,5
26,ING. RAFAEL GUERRERO,EL ORO,ARENILLAS,ARENILLAS,12,2
29,5 DE JUNIO,EL ORO,ARENILLAS,PALMALES,14,2
32,SIMON BOLIVAR,EL ORO,ARENILLAS,CHACRAS,46,3
35,MAYOR  MANUEL ANTONIO ROSERO,EL ORO,ARENILLAS,PALMALES,46,3
36,ZOILA ESPERANZA CRESPO,EL ORO,ARENILLAS,CARCABON,29,4
37,JESUS MARIA YEPEZ,EL ORO,ARENILLAS,CARCABON,48,5
42,9 DE OCTUBRE,EL ORO,ARENILLAS,PALMALES,15,2
43,PALMALES,EL ORO,ARENILLAS,PALMALES,15,2
44,CABO LUIS MINACHO PADILLA,EL ORO,ARENILLAS,PALMALES,11,2
45,RIO ARENILLAS,EL ORO,ARENILLAS,PALMALES,21,3
48,24 DE MAYO,EL ORO,ARENILLAS,PALMALES,24,3
50,ELOY ALFARO,EL ORO,ARENILLAS,ARENILLAS,24,3
59,LAS AMERICAS,EL ORO,ARENILLAS,ARENILLAS,39,2
62,REPUBLICA DE ARGENTINA,EL ORO,ATAHUALPA,PACCHA,31,4
64,DAVID GUZMAN,EL ORO,ATAHUALPA,PACCHA,7,3
67,CELIA LUCIA PONTON MATAMOROS,EL ORO,ATAHUALPA,AYAPAMBA,24,3
68,DIEZ DE AGOSTO,EL ORO,ATAHUALPA,AYAPAMBA,41,5
69,AMAZONAS,EL ORO,ATAHUALPA,AYAPAMBA,11,2
70,MERCEDES  MOROCHO,EL ORO,ATAHUALPA,AYAPAMBA,16,3
73,BLANCA LIDIA ORDOÑEZ VASQUEZ,EL ORO,ATAHUALPA,CORDONCILLO,18,3
74,ATAHUALPA,EL ORO,ATAHUALPA,MILAGRO,13,2
75,EL ORO,EL ORO,ATAHUALPA,SAN JOSE,17,3
76,CARLOS REYES ANDRADE,EL ORO,ATAHUALPA,SAN JOSE,27,4
77,ODALIA  ARÁUZ,EL ORO,ATAHUALPA,SAN JUAN DE CERRO AZUL,20,3
79,SOR AMALIA URIGUEN ESPINOZA,EL ORO,ATAHUALPA,PACCHA,18,3
82,25 DE ABRIL,EL ORO,ATAHUALPA,AYAPAMBA,12,3
84,GRAL. VICENTE ANDA AGUIRRE,EL ORO,ATAHUALPA,MILAGRO,9,2
100,PROFESOR LEOVIGILDO LOAYZA LOAYZA,EL ORO,BALSAS,BELLAMARIA,27,3
112,LAURO DAVILA ECHEVERRIA,EL ORO,CHILLA,CHILLA,35,2
116,LEONARDO ARAUJO MENDOZA,EL ORO,CHILLA,CHILLA,20,2
118,JORGE ICAZA CORONEL,EL ORO,CHILLA,CHILLA,30,4
120,BELISARIO FAJARDO,EL ORO,CHILLA,CHILLA,29,5
121,JORGE CHILES CORREA,EL ORO,CHILLA,CHILLA,10,3
124,MEDARDO ANGEL SILVA,EL ORO,CHILLA,CHILLA,10,2
140,INSTITUTO  7 DE SEPTIEMBRE,EL ORO,EL GUABO,EL GUABO,43,12
144,VIRGEN MARIA AUXILIADORA,EL ORO,EL GUABO,EL GUABO,26,5
150,JOSE LUIS MOLESTINA,EL ORO,EL GUABO,EL GUABO,44,5
152,SAN ANTONIO DE PADUA,EL ORO,EL GUABO,EL GUABO,49,7
172,OVIDIO DECROLY,EL ORO,EL GUABO,BARBONES (SUCRE),18,4
176,ENRIQUE RUILOVA,EL ORO,EL GUABO,BARBONES (SUCRE),24,4
183,DR. ROMULO CEDILLO ZEA,EL ORO,EL GUABO,BARBONES (SUCRE),37,4
184,CORAZON DE MARIA,EL ORO,EL GUABO,EL GUABO,14,2
185,REPUBLICA DE ESPAÑA,EL ORO,EL GUABO,TENDALES,13,3
187,JOSE HOMERO SERRANO RAMIREZ,EL ORO,EL GUABO,RIO BONITO,40,4
189,POMPEYO FERNANDEZ MARQUEZ,EL ORO,EL GUABO,RIO BONITO,50,7
190,EL PARAISO,EL ORO,EL GUABO,RIO BONITO,32,3
191,14 DE JULIO,EL ORO,EL GUABO,RIO BONITO,31,3
194,TENIENTE GUSTAVO LEDESMA,EL ORO,EL GUABO,RIO BONITO,34,5
212,ALEJANDRO CAMPOVERDE ANDRADE,EL ORO,HUAQUILLAS,MILTON REYES,36,4
220,MARIA LEONOR MINUCHE ARMIJOS,EL ORO,HUAQUILLAS,ECUADOR,47,6
237,CIUDAD DE MACARA,EL ORO,HUAQUILLAS,MILTON REYES,37,7
255,NICOLAS VALDANO RAFFO,EL ORO,LAS LAJAS,LA VICTORIA,38,4
263,PROVINCIA DE TUNGURAHUA,EL ORO,LAS LAJAS,EL PARAISO,27,3
265,DOLORES CARREÑO DE MORA,EL ORO,LAS LAJAS,EL PARAISO,25,2
270,DR. JOSE MARIA VELAZCO IBARRA,EL ORO,LAS LAJAS,LA LIBERTAD,25,2
272,JORGE YEPEZ CARRANZA,EL ORO,LAS LAJAS,LA LIBERTAD,21,2
283,JESUS DEL GRAN PODER,EL ORO,MACHALA,NUEVE DE MAYO,43,9
284,AMERICA QUALITY SCHOOL,EL ORO,MACHALA,NUEVE DE MAYO,18,4
300,LOS PANCHITOS,EL ORO,MACHALA,NUEVE DE MAYO,35,2
315,VICKER,EL ORO,MACHALA,LA PROVIDENCIA,48,7
316,TEMPLO DELA SABIDURÍA,EL ORO,MACHALA,LA PROVIDENCIA,27,2
372,ROSA ORTEGA,EL ORO,MACHALA,MACHALA,39,8
380,EL MUNDO DE LOS NIÑOS,EL ORO,MACHALA,MACHALA,48,2
400,FUENTE DE VIDA,EL ORO,MACHALA,MACHALA,30,2
402,MIS PRIMERAS LETRAS,EL ORO,MACHALA,MACHALA,6,2
407,CENTRO DE FORMACION ARTESANAL PARTICULAR AMERICA,EL ORO,MACHALA,MACHALA,31,7
408,KICHWAKUNAPAK AMAUTA YACHAY,EL ORO,MACHALA,MACHALA,42,3
409,CELESTE MURILLO,EL ORO,MACHALA,MACHALA,2,7
413,MARIOLA JULIA,EL ORO,MACHALA,NUEVE DE MAYO,6,7
430,CONSERVATORIO NACIONAL DE MUSICA MACHALA,EL ORO,MACHALA,MACHALA,0,25
436,JOSE VICENTE PEÑAFIEL ESCALANTE,EL ORO,MACHALA,LA PROVIDENCIA,40,3
439,LAS ÁGUILAS DEL SABER,EL ORO,MACHALA,EL CAMBIO,25,5
442,OLINDA GALVEZ DE ARMIJOS,EL ORO,MACHALA,EL RETIRO,43,3
443,MIGUEL ANGEL PINEDA COBOS,EL ORO,MACHALA,EL RETIRO,37,3
450,SONRISITAS,EL ORO,MACHALA,EL CAMBIO,9,2
455,25 DE JUNIO,EL ORO,MACHALA,EL CAMBIO,49,4
474,MONSEÑOR LEONIDAS PROAÑO VILLALVA,EL ORO,MACHALA,PUERTO BOLIVAR,33,6
503,MOSARC,EL ORO,MACHALA,NUEVE DE MAYO,7,3
506,CARLOS MORAN ZAMBRANO,EL ORO,MARCABELI,MARCABELI,26,4
508,SIMON BOLIVAR,EL ORO,MARCABELI,MARCABELI,34,2
515,DR JORGE ZAVALA BAQUERIZO,EL ORO,MARCABELI,EL INGENIO,5,2
516,30 DE SEPTIEMBRE,EL ORO,MARCABELI,MARCABELI,26,3
517,FRANCISCO CARRION ROMERO,EL ORO,MARCABELI,EL INGENIO,19,3
519,ING ANDRES CORSINO GARCIA,EL ORO,PASAJE,PROGRESO,31,3
525,OLIVA CARDENAS BATALLAS DE SÁNCHEZ,EL ORO,PASAJE,PROGRESO,41,7
527,NICOLAS SALDAÑA CARPIO,EL ORO,PASAJE,PROGRESO,23,3
529,DR ALFREDO VERA,EL ORO,PASAJE,PROGRESO,49,6
530,PROVINCIA DE EL ORO,EL ORO,PASAJE,PROGRESO,18,2
534,BOLIVAR MADERO VARGAS,EL ORO,PASAJE,CAÑAQUEMADA,14,2
535,DELFIN AMAYA ENCALADA,EL ORO,PASAJE,CAÑAQUEMADA,19,2
542,TEMISTOCLES ROMERO LUCIN,EL ORO,PASAJE,CAÑAQUEMADA,46,8
544,FELIPE ISIDORO BARRIGA LARREA,EL ORO,PASAJE,BUENAVISTA,17,2
580,TERESA URDIALES DE PAVON,EL ORO,PASAJE,TRES CERRITOS,39,2
591,GABRIELA MISTRAL,EL ORO,PASAJE,LOMA DE FRANCO,10,2
597,FRANCISCO OCHOA ORTIZ,EL ORO,PASAJE,OCHOA LEON (MATRIZ),16,4
622,GENERAL LUIS LARREA  ALBA,EL ORO,PASAJE,CASACAY,26,3
623,DAVID MONROY,EL ORO,PASAJE,CASACAY,15,2
624,LEOPOLDO MUÑOZ RODRIGUEZ,EL ORO,PASAJE,CASACAY,44,5
631,CIRO VICENTE VERA,EL ORO,PASAJE,PROGRESO,30,4
632,MIGUEL ALFONSO CARMONA BENENAULA,EL ORO,PASAJE,PROGRESO,44,4
638,REPUBLICA DE NICARAGUA,EL ORO,PIÑAS,MOROMORO,17,3
641,PEDRO FERMIN CEVALLOS,EL ORO,PIÑAS,MOROMORO,36,5
648,LUIS CORDERO CRESPO,EL ORO,PIÑAS,PIÑAS GRANDE,47,4
669,GENERAL CALICUCHIMA,EL ORO,PIÑAS,LA MATRIZ,33,2
670,13 DE ABRIL,EL ORO,PIÑAS,SAN ROQUE (AMBROSIO MALDONADO),21,2
672,DR GUILLERMO GUZMAN AYORA,EL ORO,PIÑAS,SAN ROQUE (AMBROSIO MALDONADO),26,4
678,OCHO  DE NOVIEMBRE,EL ORO,PIÑAS,PIEDRAS,32,2
680,VICTOR MANUEL LOAYZA,EL ORO,PIÑAS,LA BOCANA,14,2
684,GENERAL ELOY ALFARO,EL ORO,PIÑAS,LA BOCANA,41,3
685,JOSE UGARTE MOLINA,EL ORO,PIÑAS,LA BOCANA,15,2
687,REPUBLICA DE COLOMBIA,EL ORO,PIÑAS,PIEDRAS,44,4
688,SIMON BOLIVAR,EL ORO,PIÑAS,SARACAY,17,2
692,MIGUEL CABRERA DELGADO,EL ORO,PIÑAS,SARACAY,33,2
693,AERO TECNICO DE LA  FAE,EL ORO,PIÑAS,SARACAY,23,2
699,ANGEL SALVADOR OCHOA,EL ORO,PIÑAS,CAPIRO,40,4
701,JUAN MONTALVO,EL ORO,PIÑAS,CAPIRO,31,2
704,CIUDAD  DE CUENCA NUMERO 121,EL ORO,PIÑAS,CAPIRO,31,3
710,MARGARITA COMAS,EL ORO,PORTOVELO,PORTOVELO,25,4
713,CENTRO DE FORMACION ARTESANAL FEDERICO FROEBEL,EL ORO,PORTOVELO,PORTOVELO,25,7
719,SANTIAGO ZAMORA,EL ORO,PORTOVELO,CURTINCAPA,45,5
720,CIUDAD DE ZARUMA  N  2,EL ORO,PORTOVELO,CURTINCAPA,13,2
724,27 DE ABRIL,EL ORO,PORTOVELO,SALATI,32,3
733,MANUELITA SAENZ,EL ORO,SANTA ROSA,LA AVANZADA,20,2
734,ROSARIO CELINA GARCIA PINEDA,EL ORO,SANTA ROSA,LA AVANZADA,12,2
737,PROF JESUS MARIA FLORES DE PIEDRA,EL ORO,SANTA ROSA,BELLAVISTA,30,3
740,NUMA POMPILIO LLONA,EL ORO,SANTA ROSA,BELLAVISTA,20,4
742,JOSE  JOAQUIN TOLEDO CHICA,EL ORO,SANTA ROSA,BELLAVISTA,41,5
747,VEINTE Y SIETE DE FEBRERO,EL ORO,SANTA ROSA,TORATA,15,3
749,3 DE NOVIEMBRE,EL ORO,SANTA ROSA,TORATA,30,2
750,EMILIANO VALVERDE,EL ORO,SANTA ROSA,TORATA,30,3
753,PROVINCIA DE EL ORO,EL ORO,SANTA ROSA,BELLAMARIA,29,3
756,TERESA ARCAYA GERMAN,EL ORO,SANTA ROSA,BELLAMARIA,29,4
758,SIMON BOLIVAR,EL ORO,SANTA ROSA,BELLAMARIA,21,2
777,POR UN MUNDO MEJOR,EL ORO,SANTA ROSA,SANTA ROSA,7,3
778,MUNDO DE LA FANTASIA,EL ORO,SANTA ROSA,SANTA ROSA,43,8
780,REPUBLICA DEL ECUADOR  ESPRE,EL ORO,SANTA ROSA,SANTA ROSA,43,6
781,DAVID DE JESUS TORRES APOLO,EL ORO,SANTA ROSA,SANTA ROSA,41,4
794,ROSA ARCAYA GERMAN,EL ORO,SANTA ROSA,SANTA ROSA,30,3
795,PADRE EMILIO CATALAN BONO,EL ORO,SANTA ROSA,SANTA ROSA,35,5
799,JOSE MARIA VELASCO IBARRA,EL ORO,SANTA ROSA,SANTA ROSA,24,2
815,CARLOS TAPIA ORDOÑEZ,EL ORO,SANTA ROSA,SANTA ROSA,17,3
831,RIO AMAZONAS,EL ORO,SANTA ROSA,JAMBELI,12,2
832,DR JAIME PALACIOS PERALTA,EL ORO,SANTA ROSA,JAMBELI,41,2
845,PROVINCIA DEL AZUAY,EL ORO,ZARUMA,ABAÑIN,30,2
846,10 DE AGOSTO,EL ORO,ZARUMA,GUANAZAN,17,2
847,JUAN LEON MERA,EL ORO,ZARUMA,GUANAZAN,10,2
850,GENERAL ANTONIO JOSE DE SUCRE,EL ORO,ZARUMA,GUANAZAN,42,2
852,DR JOSE ROSAS ZAMBRANO,EL ORO,ZARUMA,GUANAZAN,37,2
854,FERNANDO DAQUILEMA,EL ORO,ZARUMA,GUANAZAN,39,3
856,LUIS ALFONSO CRESPO CHIRIBOGA,EL ORO,ZARUMA,ABAÑIN,18,2
857,26 DE NOVIEMBRE,EL ORO,ZARUMA,ABAÑIN,21,2
858,GENERAL ELOY ALFARO,EL ORO,ZARUMA,GUANAZAN,27,3
871,JUAN JOSÉ FLORES,EL ORO,ZARUMA,SINSAO,18,5
873,PEDRO CARBO,EL ORO,ZARUMA,SINSAO,16,5
875,JOSE LAUTARO BERREZUETA JARA,EL ORO,ZARUMA,SALVIAS,17,4
881,DR ALFREDO PEREZ GUERRERO,EL ORO,ZARUMA,GUIZHAGUIÑA,27,2
883,AMBROSIO MALDONADO,EL ORO,ZARUMA,GUIZHAGUIÑA,38,6
890,DR REINALDO ESPINOZA,EL ORO,ZARUMA,HUERTAS,20,4
891,MANUEL ROMERO SANCHEZ,EL ORO,ZARUMA,HUERTAS,21,3
914,CENTRO ARTESANAL GABRIELA MISTRAL,EL ORO,ZARUMA,ZARUMA,43,6
922,PROFESOR HAMILTON TANDAZO,LOJA,CALVAS,UTUANA,5,2
923,SERVIO MONTERO,LOJA,CALVAS,UTUANA,10,2
925,BENJAMIN CEVALLOS,LOJA,CALVAS,UTUANA,16,3
926,LA  LIBERTAD,LOJA,CALVAS,UTUANA,38,4
927,GUTTEMBERG,LOJA,CALVAS,UTUANA,24,4
928,SANTA MARIANITA,LOJA,CALVAS,UTUANA,18,3
930,ROBERTH  OWEN,LOJA,CALVAS,COLAISACA,41,5
932,DR  JOSE PERALTA,LOJA,CALVAS,COLAISACA,9,2
937,ROSA LOAIZA VALAREZO,LOJA,CALVAS,COLAISACA,16,2
938,11 DE NOVIEMBRE,LOJA,CALVAS,COLAISACA,27,3
942,SERVILLO LUDEÑA GAHONA,LOJA,CALVAS,COLAISACA,27,2
946,ESCUELA HIPOLITO AMADOR LOAIZA DAVILA,LOJA,CALVAS,COLAISACA,13,3
947,HITLER ROBERTO CORONEL JARAMILLO,LOJA,CALVAS,COLAISACA,28,3
948,LOURDES,LOJA,CALVAS,COLAISACA,8,2
949,TECNICO EDMUNDO CEVALLOS AGUIRRE,LOJA,CALVAS,COLAISACA,36,12
951,DR. ISIDRO AYORA,LOJA,CALVAS,COLAISACA,32,9
954,CLOTARIO CUEVA PAZ,LOJA,CALVAS,SAN VICENTE,4,2
955,GERARDO GUEVARA BARBA,LOJA,CALVAS,SAN VICENTE,12,3
956,ANTONIO CASTILLO HERMANO MIGUEL,LOJA,CALVAS,SAN VICENTE,16,3
958,SAN JUAN DE LA CRUZ,LOJA,CALVAS,CARIAMANGA,24,2
962,SANTIAGO APOSTOL,LOJA,CALVAS,CARIAMANGA,28,5
963,LUIS FELIPE CARBO,LOJA,CALVAS,CARIAMANGA,22,3
964,REMIGIO CRESPO TORAL,LOJA,CALVAS,CARIAMANGA,10,3
968,AMADA JUMBO SANTA TERESA,LOJA,CALVAS,SAN VICENTE,22,3
969,HERNANDO  DE MAGALLANES,LOJA,CALVAS,CARIAMANGA,19,3
973,SAN ANTONIO,LOJA,CALVAS,CHILE,18,2
974,RUBEN DARIO,LOJA,CALVAS,CHILE,30,4
975,NOCTURNA 14 DE OCTUBRE,LOJA,CALVAS,CARIAMANGA,19,4
976,IMBABURA,LOJA,CALVAS,SAN VICENTE,14,2
977,ESPECIAL  HELEN KELLER,LOJA,CALVAS,CARIAMANGA,32,6
978,PAULO VI,LOJA,CALVAS,CARIAMANGA,12,3
980,27 DE OCTUBRE,LOJA,CALVAS,CHILE,30,5
981,GASPAR DE VILLARROEL,LOJA,CALVAS,CHILE,20,3
982,GRAN COLOMBIA,LOJA,CALVAS,CHILE,21,2
983,DR LORENZO IMAICELA,LOJA,CALVAS,CHILE,12,3
984,CRISTOBAL COLON,LOJA,CALVAS,CHILE,23,4
986,SAN JUAN EVANGELISTA,LOJA,CALVAS,CHILE,34,4
987,SAN VICENTE FERRER,LOJA,CALVAS,CHILE,13,3
991,LANTADILLA,LOJA,CALVAS,CHILE,13,2
993,NARCIZA DE JESUS,LOJA,CALVAS,CHILE,14,2
995,LUZ RODRIGUEZ DE CORONEL,LOJA,CALVAS,CHILE,28,3
998,MARIANO SAMANIEGO,LOJA,CALVAS,CHILE,15,3
1001,SRA. MERCEDES ONTANEDA SOLANO,LOJA,CALVAS,CHILE,5,2
1003,SANTA MARIANA DE JESUS,LOJA,CALVAS,SANGUILLIN,19,4
1004,REINA DEL CISNE,LOJA,CALVAS,SANGUILLIN,38,4
1005,LA CRUZ DE SANGUILLIN,LOJA,CALVAS,SANGUILLIN,7,2
1006,LIC. SALOMON SARANGO,LOJA,CALVAS,SANGUILLIN,42,3
1007,JORGE ICAZA,LOJA,CALVAS,SANGUILLIN,12,3
1008,NUMA POMPILIO LLONA CRISTO REY,LOJA,CALVAS,SANGUILLIN,16,4
1015,PADRE ESTEBAN NARGANES GARCIA,LOJA,CALVAS,EL LUCERO,13,3
1016,GARCIA MORENO,LOJA,CALVAS,EL LUCERO,20,2
1018,JUAN JOSE HERRERA OJEDA,LOJA,CALVAS,EL LUCERO,32,4
1020,REINO DE LOS SHYRIS,LOJA,CALVAS,EL LUCERO,15,3
1021,JOSE HERIBERTO JIMENEZ,LOJA,CALVAS,EL LUCERO,10,2
1022,GERONIMO CARRION,LOJA,CALVAS,EL LUCERO,36,6
1024,LUIS VARGAS TORRES,LOJA,CALVAS,SAN VICENTE,32,4
1025,HUGO COLON RODRIGUEZ,LOJA,CALVAS,SAN VICENTE,23,3
1026,SEGUNDO CORREA,LOJA,CALVAS,SAN VICENTE,22,3
1027,ESCUELA PENINSULA IBERICA,LOJA,CALVAS,SAN VICENTE,31,4
1028,CIUDAD DE MADRID,LOJA,CALVAS,SAN VICENTE,15,2
1031,JOSE MARIA RIOFRIO,LOJA,CATAMAYO,EL TAMBO,29,2
1033,ANDRES TINOCO DE MERCADO,LOJA,CATAMAYO,EL TAMBO,29,3
1034,DANIEL GONZALEZ IRENE,LOJA,CATAMAYO,EL TAMBO,21,2
1035,SANTA ELENA,LOJA,CATAMAYO,EL TAMBO,9,2
1038,BALBINA CASTRO,LOJA,CATAMAYO,EL TAMBO,30,4
1041,ESCUELA FISCAL MIXTA SANCHEZ DE ORELLANA,LOJA,CATAMAYO,EL TAMBO,29,2
1042,MIGUEL ANGEL CARRION CUEVA,LOJA,CATAMAYO,EL TAMBO,43,3
1044,DR. GONZALO ARIAS CASTILLO,LOJA,CATAMAYO,EL TAMBO,34,2
1045,ESCUELA VICTORIANO JARAMILLO VIVANCO,LOJA,CATAMAYO,EL TAMBO,37,3
1047,MEDARDO FILOMENO CUEVA,LOJA,CATAMAYO,EL TAMBO,26,2
1053,CENTRO PSICOPEDAGÓGICO CATAMAYO,LOJA,CATAMAYO,CATAMAYO,22,2
1054,FINE TUNED CATAMAYO,LOJA,CATAMAYO,CATAMAYO,0,3
1056,SEMILLITAS DEL SABER,LOJA,CATAMAYO,CATAMAYO,27,4
1057,MARIA INES QUINDE BURNEO,LOJA,CATAMAYO,CATAMAYO,9,2
1075,MOISES ALBERTO HIDALGO JARRIN,LOJA,CATAMAYO,CATAMAYO,34,4
1081,ULPIANO MOSCOSO,LOJA,CATAMAYO,CATAMAYO,31,3
1086,UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXTENSION EL PRADO,LOJA,CATAMAYO,GUAYQUICHUMA,36,4
1087,NELSON ROMERO,LOJA,CATAMAYO,GUAYQUICHUMA,17,2
1097,ENRIQUE VACAS GALINDO,LOJA,CATAMAYO,ZAMBI,36,6
1103,TERESA CEPEDA Y FUENTES,LOJA,CELICA,SABANILLA,19,2
1105,GENOVEVA BUSTAMANTE DE APOLO,LOJA,CELICA,SABANILLA,24,2
1106,ROSA AURORA SANCHEZ GRANDA,LOJA,CELICA,SABANILLA,14,2
1107,BRACAMOROS,LOJA,CELICA,SABANILLA,20,2
1112,VIRGEN DEL ROSARIO,LOJA,CELICA,SABANILLA,25,2
1115,SABANILLA,LOJA,CELICA,SABANILLA,28,5
1121,GUILLERMO GRANDA,LOJA,CELICA,CRUZPAMBA,32,3
1128,CARLOS RAUL BUSTAMANTE,LOJA,CELICA,LOAIZA,37,2
1129,ESCUELA  FISCAL MIXTA ARCENIO CASTILLO,LOJA,CELICA,CRUZPAMBA,20,2
1130,ESCUELA CARLOS BUSTAMANTE,LOJA,CELICA,CRUZPAMBA,37,3
1138,DIEGO DE NOBOA,LOJA,CELICA,POZUL (SAN JUAN DE POZUL),30,4
1142,JOSE JAVIER EGUIGUREN,LOJA,CELICA,POZUL (SAN JUAN DE POZUL),33,3
1143,JOSE MIGUEL UNDA,LOJA,CELICA,POZUL (SAN JUAN DE POZUL),29,3
1144,DR  JOSE ANTONIO BAQUERO DE LA CALLE,LOJA,CELICA,POZUL (SAN JUAN DE POZUL),47,6
1145,MIGUEL ANGEL MONTALVO,LOJA,CELICA,POZUL (SAN JUAN DE POZUL),26,3
1150,MADRE TERESA DE CALCUTA,LOJA,CELICA,POZUL (SAN JUAN DE POZUL),37,2
1151,ESCUELA FISCAL MIXTA PEDRO PACHECO,LOJA,CELICA,POZUL (SAN JUAN DE POZUL),48,4
1161,COMUNA DOMINGUILLO,LOJA,CELICA,CELICA,47,7
1162,PEDRO JOSE TRAJANO BUSTAMANTE,LOJA,CELICA,CELICA,42,2
1164,RICARDO FERNANDEZ (C.A.),LOJA,CELICA,CELICA,44,7
1166,ESCUELA VILCABAMBA,LOJA,CELICA,CELICA,46,5
1170,SOLDADO SEGUNDO QUIROZ,LOJA,CELICA,CELICA,14,2
1173,FAE,LOJA,CELICA,CELICA,21,2
1174,CABO SEGUNDO GABRIEL HIPOLITO SOLIS MOREIRA,LOJA,CELICA,CELICA,25,3
1175,CELICA,LOJA,CELICA,CELICA,14,2
1186,COLEGIO ARTESANAL FRANCISCO CELI BARBA,LOJA,CHAGUARPAMBA,CHAGUARPAMBA,24,2
1190,JUAN JOSE CASTILLO CELI,LOJA,CHAGUARPAMBA,CHAGUARPAMBA,21,3
1194,CELSA FILOTEA MOCHA ORDOÑEZ,LOJA,CHAGUARPAMBA,CHAGUARPAMBA,23,2
1197,HERMANO LUIS VINUEZA PAVON,LOJA,CHAGUARPAMBA,CHAGUARPAMBA,17,2
1200,PALTAS,LOJA,CHAGUARPAMBA,CHAGUARPAMBA,17,2
1205,JOSE LINO PALACIOS,LOJA,CHAGUARPAMBA,EL ROSARIO,21,2
1208,ISABEL MARIA LIZALDEZ DE TRUJILLO,LOJA,CHAGUARPAMBA,CHAGUARPAMBA,30,2
1209,MIGUEL DE CERVANTES,LOJA,CHAGUARPAMBA,EL ROSARIO,4,2
1216,UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXTENSION LOZUMBE,LOJA,CHAGUARPAMBA,SANTA RUFINA,39,7
1218,JULIO MOISES CORDOVA ROJAS,LOJA,CHAGUARPAMBA,SANTA RUFINA,20,3
1223,QUITO LUZ DE AMERICA,LOJA,CHAGUARPAMBA,SANTA RUFINA,38,2
1226,MIREYA VILLAMAGUA,LOJA,CHAGUARPAMBA,SANTA RUFINA,11,3
1233,CELIANO AVILA PENA,LOJA,ESPINDOLA,BELLAVISTA,20,2
1243,ESCUELA JOSE JOAQUIN PALACIOS,LOJA,ESPINDOLA,BELLAVISTA,32,2
1248,DR JOSE LUIS TAMAYO,LOJA,ESPINDOLA,JIMBURA,37,2
1252,26 DE SEPTIEMBRE,LOJA,ESPINDOLA,JIMBURA,18,2
1253,DIEZ DE OCTUBRE,LOJA,ESPINDOLA,JIMBURA,40,2
1254,MONS. JOSE IGNACIO CHECA,LOJA,ESPINDOLA,JIMBURA,50,3
1257,LA NARANJA,LOJA,ESPINDOLA,27 DE ABRIL,25,4
1258,JUAN LEON MERA,LOJA,ESPINDOLA,27 DE ABRIL,12,3
1260,CARLOS MARIA DE LA TORRE,LOJA,ESPINDOLA,27 DE ABRIL,14,4
1262,ESCUELA FISCAL MIXTA JUAN JOSE PEÑA,LOJA,ESPINDOLA,27 DE ABRIL,21,3
1263,LIC JAIME BOLÍVAR VALAREZO OCAMPO,LOJA,ESPINDOLA,27 DE ABRIL,16,3
1264,HERMANO JUAN NEPOMUCENO,LOJA,ESPINDOLA,27 DE ABRIL,11,2
1265,ANTONIO FIDEL GARCIA TORRES,LOJA,ESPINDOLA,27 DE ABRIL,21,2
1266,PROF  ANGELICA TORRES RIOS,LOJA,ESPINDOLA,27 DE ABRIL,19,4
1270,DR GUADALUPE LARRIVA GONZALEZ,LOJA,ESPINDOLA,EL INGENIO,37,3
1271,24 DE OCTUBRE,LOJA,ESPINDOLA,EL INGENIO,27,3
1273,TRABAJADORES EL INGENIO,LOJA,ESPINDOLA,EL INGENIO,33,6
1274,ESCUELA ISABEL GARCIA,LOJA,ESPINDOLA,EL INGENIO,14,2
1275,SANTA ROSA,LOJA,ESPINDOLA,EL AIRO,18,2
1280,FISCAL MIXTA LUZ CLARITA SUÁREZ,LOJA,ESPINDOLA,EL AIRO,44,3
1281,MANABI,LOJA,ESPINDOLA,EL AIRO,43,4
1284,MONSEÑOR JOSE MARIA HARRIS MORALES,LOJA,ESPINDOLA,AMALUZA,32,3
1290,CLARA AURORA GARCIA TORRES,LOJA,ESPINDOLA,AMALUZA,8,2
1292,ASUNCION,LOJA,ESPINDOLA,AMALUZA,22,2
1293,ESCUELA MAINAS,LOJA,ESPINDOLA,AMALUZA,20,3
1296,HERMANO BERNABE LUIS,LOJA,ESPINDOLA,AMALUZA,10,2
1298,LUIS BENJAMIN GUARNIZO,LOJA,ESPINDOLA,SANTA TERESITA,11,2
1302,CENTINELA DE LA PATRIA,LOJA,ESPINDOLA,SANTA TERESITA,12,2
1304,JOSE MIGUEL CARRION,LOJA,ESPINDOLA,SANTA TERESITA,7,2
1305,RIOBAMBA,LOJA,ESPINDOLA,SANTA TERESITA,44,6
1306,ISMAEL PEREZ PAZMIÑO,LOJA,ESPINDOLA,SANTA TERESITA,30,3
1308,ARCADIO MENDIETA VIRGEN DEL CISNE,LOJA,GONZANAMA,CHANGAIMINA (LA LIBERTAD),23,2
1311,REINA DEL CISNE,LOJA,GONZANAMA,CHANGAIMINA (LA LIBERTAD),10,2
